painting,speaker,level,sentences,радость_model1,грусть_model1,страх_model1,гнев_model1,удивление_model1,радость_model2,грусть_model2,страх_model2,гнев_model2,удивление_model2,радость_model3,грусть_model3,страх_model3,гнев_model3,удивление_model3,радость_model4,грусть_model4,страх_model4,гнев_model4,удивление_model4
Кандинский,Алина,Средний,А так картина приятная. /// Вот так бы я сказала. /// Приятненькая такая.,4.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,В картине даже какой-то сюжет имеется? /// Да. /// Тут прям хорошо прослеживается.,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,В этой части уже чуть… /// немножко тревожнее становится. /// Вот.,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,Вот так бы я сказала. /// Приятненькая такая. /// Вот.,2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,Вот. /// На подумать. /// Всё.,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,"Вот. /// Ну, и опять же за счёт цветовой гаммой, ну, то, что она более спокойная такая. /// Ну, какой-то даже слегка веселье.",3.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,"Вот. /// Ну, я очень вот эту картину.. /// понравилась такая.",3.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,Всё должно быть с целью. /// В картине даже какой-то сюжет имеется? /// Да.,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Всё. /// Ну, прям что вау, я бы не сказала. /// Мне вот тот мужичок больше понравился, который прикольный.",3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,5.0,,,,,
Кандинский,Алина,Средний,Да. /// Тут прям хорошо прослеживается. /// достаточно.,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,"Два чупакабрика идут. /// Дорогу куда-то. /// Ну, вот тут вот, заборчик.",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Дорогу куда-то. /// Ну, вот тут вот, заборчик. /// Какой-то такой-то.",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Забирает на себя очень много картин… /// ну, места картины, и такое пустое поле. /// Место здесь пусто, а здесь очень много.",1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,,,,,
Кандинский,Алина,Средний,И как-то хочется немножечко рассредоточить. /// А так картина приятная. /// Вот так бы я сказала.,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,5.0,5.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Как будто бы вот… /// помню, мне хватает сюда ещё чего-нибудь. /// Пустое пространство немножечко.",1.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,4.0,3.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,Как-то… /// не по-товарищески. /// Всё должно быть с целью.,1.0,2.0,1.0,3.0,1.0,1.0,2.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Какой-то такой-то. /// Эм… /// Сначала подумала о доме, и теперь как будто конь.",1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,3.0,,,,,
Кандинский,Алина,Средний,"Место здесь пусто, а здесь очень много. /// И как-то хочется немножечко рассредоточить. /// А так картина приятная.",3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,"На подумать. /// Всё. /// Ну, прям что вау, я бы не сказала.",1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,2.0,3.0,,,,,
Кандинский,Алина,Средний,"Не знаю, ну, прям тело и ножки вместе дают.. /// Немножко сумбурности какой-то, потому что ну, всё навалено, и чтобы что-то в ней рассмотреть, нужно… /// разные…",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,2.0,1.0,,,,,
Кандинский,Алина,Средний,"Немножко сумбурности какой-то, потому что ну, всё навалено, и чтобы что-то в ней рассмотреть, нужно… /// разные… /// эм…",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,
Кандинский,Алина,Средний,"Но всё-таки больше на… /// на дом. /// Ну, они как будто идут, у них есть цель хотя бы куда идти.",1.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Ну, вот в этой части. /// В этой части уже чуть… /// немножко тревожнее становится.",1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,1.0,1.0,3.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Ну, вот тут вот, заборчик. /// Какой-то такой-то. /// Эм…",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Ну, за счёт вот этих вот… /// Чупакабриков. /// Не знаю, ну, прям тело и ножки вместе дают..",2.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,4.0,2.0,3.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,"Ну, и опять же за счёт цветовой гаммой, ну, то, что она более спокойная такая. /// Ну, какой-то даже слегка веселье. /// Ну, вот в этой части.",2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Ну, какой-то даже слегка веселье. /// Ну, вот в этой части. /// В этой части уже чуть…",2.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Ну, они как будто идут, у них есть цель хотя бы куда идти. /// Это если будет конь, то они идут без цели. /// Как-то…",1.0,3.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,,,,,
Кандинский,Алина,Средний,"Ну, прям что вау, я бы не сказала. /// Мне вот тот мужичок больше понравился, который прикольный. /// Вот.",3.0,1.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,,,,,
Кандинский,Алина,Средний,"Ну, эм… /// Как будто бы вот… /// помню, мне хватает сюда ещё чего-нибудь.",1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,,,,,
